City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,date
Vohibinany,23,MG,1612055860,89,-17.35,49.0333,72.39,1.21,2021-01-31 01:17:40
Cape Town,75,ZA,1612055707,77,-33.9258,18.4232,71.01,5.75,2021-01-31 01:15:07
Atuona,62,PF,1612055860,73,-9.8,-139.0333,79.25,17.56,2021-01-31 01:17:40
Boyolangu,97,ID,1612055860,78,-8.1181,111.8935,79.57,3.58,2021-01-31 01:17:40
Voi,98,KE,1612055861,88,-3.3945,38.563,70.47,5.28,2021-01-31 01:17:41
Santa Maria,90,BR,1612055573,100,-29.6842,-53.8069,69.8,3.44,2021-01-31 01:12:53
Mataura,96,NZ,1612055351,37,-46.1927,168.8643,71.98,3.56,2021-01-31 01:09:11
Kalmunai,100,LK,1612055846,86,7.4167,81.8167,76.39,4.83,2021-01-31 01:17:26
Mahon,20,ES,1612055710,93,39.8885,4.2658,48.2,5.75,2021-01-31 01:15:10
Baracoa,100,CU,1612055710,80,20.3467,-74.4958,71.98,13.6,2021-01-31 01:15:10
Saskylakh,100,RU,1612055710,82,71.9167,114.0833,-33.81,11.7,2021-01-31 01:15:10
Thompson,90,CA,1612055698,92,55.7435,-97.8558,14.0,2.89,2021-01-31 01:14:58
Korla,0,CN,1612055711,85,41.7597,86.1469,18.37,4.43,2021-01-31 01:15:11
Bambous Virieux,40,MU,1612055711,83,-20.3428,57.7575,78.8,6.91,2021-01-31 01:15:11
Olinda,20,BR,1612055711,69,-8.0089,-34.8553,78.8,8.05,2021-01-31 01:15:11
Antofagasta,20,CL,1612055712,82,-23.65,-70.4,66.2,11.5,2021-01-31 01:15:12
Yellowknife,20,CA,1612055595,77,62.456,-114.3525,-11.99,4.61,2021-01-31 01:13:15
Ribeira Grande,97,PT,1612055712,91,38.5167,-28.7,63.16,22.06,2021-01-31 01:15:12
Rikitea,0,PF,1612055535,70,-23.1203,-134.9692,79.5,11.34,2021-01-31 01:12:15
Yarkovo,100,RU,1612055713,96,57.4028,67.0786,14.32,6.53,2021-01-31 01:15:13
Saldanha,0,ZA,1612055713,92,-33.0117,17.9442,63.63,1.63,2021-01-31 01:15:13
Puerto Ayora,51,EC,1612055713,89,-0.7393,-90.3518,78.01,5.99,2021-01-31 01:15:13
Barrow,90,US,1612055702,76,71.2906,-156.7887,-16.6,4.61,2021-01-31 01:15:02
Port Hawkesbury,90,CA,1612055857,80,45.6169,-61.3485,26.01,16.11,2021-01-31 01:17:37
Kalispell,90,US,1612055857,75,48.1958,-114.3129,36.0,4.61,2021-01-31 01:17:37
Clyde River,90,CA,1612055857,84,70.4692,-68.5914,-4.0,2.3,2021-01-31 01:17:37
Lagos,10,NG,1612055857,90,6.5833,3.75,78.6,3.6,2021-01-31 01:17:37
Canto do Buriti,100,BR,1612055858,95,-8.11,-42.9444,68.83,2.35,2021-01-31 01:17:38
Yumen,0,CN,1612055858,73,40.2833,97.2,21.65,22.82,2021-01-31 01:17:38
Arman',69,RU,1612055728,78,59.7,150.1667,-12.59,17.98,2021-01-31 01:15:28
Carnarvon,6,AU,1612055858,70,-24.8667,113.6333,86.0,4.61,2021-01-31 01:17:38
Vila Velha,75,BR,1612055858,78,-20.3297,-40.2925,78.8,6.91,2021-01-31 01:17:38
Upernavik,100,GL,1612055660,87,72.7868,-56.1549,-9.13,6.98,2021-01-31 01:14:20
Jamestown,1,US,1612055806,79,42.097,-79.2353,18.0,3.18,2021-01-31 01:16:46
Klyuchi,100,RU,1612055859,95,52.2667,79.1667,8.06,7.87,2021-01-31 01:17:39
Puerto Escondido,40,MX,1612055616,74,15.85,-97.0667,80.6,4.61,2021-01-31 01:13:36
Albany,5,US,1612055860,60,42.6001,-73.9662,17.01,7.74,2021-01-31 01:17:40
Vohibinany,23,MG,1612055860,89,-17.35,49.0333,72.39,1.21,2021-01-31 01:17:40
Cape Town,75,ZA,1612055707,77,-33.9258,18.4232,71.01,5.75,2021-01-31 01:15:07
Atuona,62,PF,1612055860,73,-9.8,-139.0333,79.25,17.56,2021-01-31 01:17:40
Boyolangu,97,ID,1612055860,78,-8.1181,111.8935,79.57,3.58,2021-01-31 01:17:40
Voi,98,KE,1612055861,88,-3.3945,38.563,70.47,5.28,2021-01-31 01:17:41
Santa Maria,90,BR,1612055573,100,-29.6842,-53.8069,69.8,3.44,2021-01-31 01:12:53
Mahon,20,ES,1612055710,93,39.8885,4.2658,48.2,5.75,2021-01-31 01:15:10
Baracoa,100,CU,1612055710,80,20.3467,-74.4958,71.98,13.6,2021-01-31 01:15:10
Saskylakh,100,RU,1612055710,82,71.9167,114.0833,-33.81,11.7,2021-01-31 01:15:10
Thompson,90,CA,1612055698,92,55.7435,-97.8558,14.0,2.89,2021-01-31 01:14:58
Korla,0,CN,1612055711,85,41.7597,86.1469,18.37,4.43,2021-01-31 01:15:11
Bambous Virieux,40,MU,1612055711,83,-20.3428,57.7575,78.8,6.91,2021-01-31 01:15:11
Olinda,20,BR,1612055711,69,-8.0089,-34.8553,78.8,8.05,2021-01-31 01:15:11
Antofagasta,20,CL,1612055712,82,-23.65,-70.4,66.2,11.5,2021-01-31 01:15:12
Yellowknife,20,CA,1612055595,77,62.456,-114.3525,-11.99,4.61,2021-01-31 01:13:15
Ribeira Grande,97,PT,1612055712,91,38.5167,-28.7,63.16,22.06,2021-01-31 01:15:12
Rikitea,0,PF,1612055535,70,-23.1203,-134.9692,79.5,11.34,2021-01-31 01:12:15
Yarkovo,100,RU,1612055713,96,57.4028,67.0786,14.32,6.53,2021-01-31 01:15:13
Saldanha,0,ZA,1612055713,92,-33.0117,17.9442,63.63,1.63,2021-01-31 01:15:13
Puerto Ayora,51,EC,1612055713,89,-0.7393,-90.3518,78.01,5.99,2021-01-31 01:15:13
Barrow,90,US,1612055702,76,71.2906,-156.7887,-16.6,4.61,2021-01-31 01:15:02
Port Hawkesbury,90,CA,1612055857,80,45.6169,-61.3485,26.01,16.11,2021-01-31 01:17:37
Kalispell,90,US,1612055857,75,48.1958,-114.3129,36.0,4.61,2021-01-31 01:17:37
Clyde River,90,CA,1612055857,84,70.4692,-68.5914,-4.0,2.3,2021-01-31 01:17:37
Lagos,10,NG,1612055857,90,6.5833,3.75,78.6,3.6,2021-01-31 01:17:37
Canto do Buriti,100,BR,1612055858,95,-8.11,-42.9444,68.83,2.35,2021-01-31 01:17:38
Yumen,0,CN,1612055858,73,40.2833,97.2,21.65,22.82,2021-01-31 01:17:38
Arman',69,RU,1612055728,78,59.7,150.1667,-12.59,17.98,2021-01-31 01:15:28
Carnarvon,6,AU,1612055858,70,-24.8667,113.6333,86.0,4.61,2021-01-31 01:17:38
Vila Velha,75,BR,1612055858,78,-20.3297,-40.2925,78.8,6.91,2021-01-31 01:17:38
Upernavik,100,GL,1612055660,87,72.7868,-56.1549,-9.13,6.98,2021-01-31 01:14:20
Jamestown,1,US,1612055806,79,42.097,-79.2353,18.0,3.18,2021-01-31 01:16:46
Klyuchi,100,RU,1612055859,95,52.2667,79.1667,8.06,7.87,2021-01-31 01:17:39
Puerto Escondido,40,MX,1612055616,74,15.85,-97.0667,80.6,4.61,2021-01-31 01:13:36
Albany,5,US,1612055860,60,42.6001,-73.9662,17.01,7.74,2021-01-31 01:17:40
Vohibinany,23,MG,1612055860,89,-17.35,49.0333,72.39,1.21,2021-01-31 01:17:40
Cape Town,75,ZA,1612055707,77,-33.9258,18.4232,71.01,5.75,2021-01-31 01:15:07
Atuona,62,PF,1612055860,73,-9.8,-139.0333,79.25,17.56,2021-01-31 01:17:40
Boyolangu,97,ID,1612055860,78,-8.1181,111.8935,79.57,3.58,2021-01-31 01:17:40
Voi,98,KE,1612055861,88,-3.3945,38.563,70.47,5.28,2021-01-31 01:17:41
Santa Maria,90,BR,1612055573,100,-29.6842,-53.8069,69.8,3.44,2021-01-31 01:12:53
Mataura,98,NZ,1612055963,36,-46.1927,168.8643,72.55,3.22,2021-01-31 01:19:23
Kalmunai,100,LK,1612055846,86,7.4167,81.8167,76.39,4.83,2021-01-31 01:17:26
Kapaa,75,US,1612055731,69,22.0752,-159.319,77.0,14.97,2021-01-31 01:15:31
Khrebtovaya,55,RU,1612055964,81,56.7032,104.2494,-44.48,1.77,2021-01-31 01:19:24
Praia da Vitória,75,PT,1612055964,88,38.7333,-27.0667,64.4,17.13,2021-01-31 01:19:24
Chokurdakh,0,RU,1612055964,85,70.6333,147.9167,-29.6,8.3,2021-01-31 01:19:24
Ushuaia,20,AR,1612055790,66,-54.8,-68.3,50.0,24.16,2021-01-31 01:16:30
Tuktoyaktuk,40,CA,1612055965,74,69.4541,-133.0374,-36.4,5.75,2021-01-31 01:19:25
Havre-St-Pierre,90,CA,1612055965,73,50.2334,-63.5986,21.2,5.75,2021-01-31 01:19:25
Hermanus,1,ZA,1612055965,86,-34.4187,19.2345,64.99,9.6,2021-01-31 01:19:25
Kargopol',100,RU,1612055966,97,61.5071,38.9456,18.93,5.97,2021-01-31 01:19:26
George Town,20,MY,1612055962,69,5.4112,100.3354,80.6,3.44,2021-01-31 01:19:22
Kavieng,98,PG,1612055831,73,-2.5744,150.7967,83.28,13.98,2021-01-31 01:17:11
Tasiilaq,90,GL,1612055966,33,65.6145,-37.6368,21.2,13.8,2021-01-31 01:19:26
Broome,1,US,1612055840,79,42.2506,-75.833,14.0,6.91,2021-01-31 01:17:20
Avarua,75,CK,1612055967,70,-21.2078,-159.775,84.2,6.91,2021-01-31 01:19:27
Palmas,20,BR,1612055876,100,-10.2128,-48.3603,75.2,3.44,2021-01-31 01:17:56
Codrington,0,AU,1612055967,57,-38.2667,141.9667,65.07,8.46,2021-01-31 01:19:27
Hirara,40,JP,1612055967,52,24.8,125.2833,69.8,16.11,2021-01-31 01:19:27
Bluff,98,NZ,1612055967,68,-46.6,168.3333,58.21,7.4,2021-01-31 01:19:27
Grindavik,0,IS,1612055968,73,63.8424,-22.4338,19.4,6.91,2021-01-31 01:19:28
Yerbogachën,71,RU,1612055968,82,61.2767,108.0108,-37.12,5.48,2021-01-31 01:19:28
Guerrero Negro,100,MX,1612055968,65,27.9769,-114.0611,60.84,15.99,2021-01-31 01:19:28
Mahon,20,ES,1612055710,93,39.8885,4.2658,48.2,5.75,2021-01-31 01:15:10
Baracoa,100,CU,1612055710,80,20.3467,-74.4958,71.98,13.6,2021-01-31 01:15:10
Saskylakh,100,RU,1612055710,82,71.9167,114.0833,-33.81,11.7,2021-01-31 01:15:10
Thompson,90,CA,1612055698,92,55.7435,-97.8558,14.0,2.89,2021-01-31 01:14:58
Korla,0,CN,1612055711,85,41.7597,86.1469,18.37,4.43,2021-01-31 01:15:11
Bambous Virieux,40,MU,1612055711,83,-20.3428,57.7575,78.8,6.91,2021-01-31 01:15:11
Olinda,20,BR,1612055711,69,-8.0089,-34.8553,78.8,8.05,2021-01-31 01:15:11
Antofagasta,20,CL,1612055712,82,-23.65,-70.4,66.2,11.5,2021-01-31 01:15:12
Yellowknife,20,CA,1612055595,77,62.456,-114.3525,-11.99,4.61,2021-01-31 01:13:15
Ribeira Grande,97,PT,1612055712,91,38.5167,-28.7,63.16,22.06,2021-01-31 01:15:12
Rikitea,0,PF,1612055535,70,-23.1203,-134.9692,79.5,11.34,2021-01-31 01:12:15
Yarkovo,100,RU,1612055713,96,57.4028,67.0786,14.32,6.53,2021-01-31 01:15:13
Saldanha,0,ZA,1612055713,92,-33.0117,17.9442,63.63,1.63,2021-01-31 01:15:13
Puerto Ayora,51,EC,1612055713,89,-0.7393,-90.3518,78.01,5.99,2021-01-31 01:15:13
Barrow,90,US,1612055702,76,71.2906,-156.7887,-16.6,4.61,2021-01-31 01:15:02
Port Hawkesbury,90,CA,1612055857,80,45.6169,-61.3485,26.01,16.11,2021-01-31 01:17:37
Kalispell,90,US,1612055857,75,48.1958,-114.3129,36.0,4.61,2021-01-31 01:17:37
Clyde River,90,CA,1612055857,84,70.4692,-68.5914,-4.0,2.3,2021-01-31 01:17:37
Lagos,10,NG,1612055857,90,6.5833,3.75,78.6,3.6,2021-01-31 01:17:37
Canto do Buriti,100,BR,1612055858,95,-8.11,-42.9444,68.83,2.35,2021-01-31 01:17:38
Yumen,0,CN,1612055858,73,40.2833,97.2,21.65,22.82,2021-01-31 01:17:38
Arman',69,RU,1612055728,78,59.7,150.1667,-12.59,17.98,2021-01-31 01:15:28
Carnarvon,6,AU,1612055858,70,-24.8667,113.6333,86.0,4.61,2021-01-31 01:17:38
Vila Velha,75,BR,1612055858,78,-20.3297,-40.2925,78.8,6.91,2021-01-31 01:17:38
Mahon,20,ES,1612056395,93,39.8885,4.2658,48.2,5.75,2021-01-31 01:26:35
Baracoa,70,CU,1612056395,80,20.3467,-74.4958,71.44,13.31,2021-01-31 01:26:35
Saskylakh,100,RU,1612056396,83,71.9167,114.0833,-33.48,9.53,2021-01-31 01:26:36
Thompson,90,CA,1612055601,92,55.7435,-97.8558,14.0,2.3,2021-01-31 01:13:21
Korla,0,CN,1612055555,85,41.7597,86.1469,18.37,4.43,2021-01-31 01:12:35
Bambous Virieux,40,MU,1612055711,83,-20.3428,57.7575,78.8,6.91,2021-01-31 01:15:11
Olinda,20,BR,1612055802,69,-8.0089,-34.8553,78.8,8.05,2021-01-31 01:16:42
Antofagasta,20,CL,1612055847,82,-23.65,-70.4,66.2,11.5,2021-01-31 01:17:27
Yellowknife,20,CA,1612056330,77,62.456,-114.3525,-11.99,3.44,2021-01-31 01:25:30
Ribeira Grande,94,PT,1612056397,91,38.5167,-28.7,63.12,21.79,2021-01-31 01:26:37
Rikitea,0,PF,1612056397,70,-23.1203,-134.9692,79.5,11.34,2021-01-31 01:26:37
Yarkovo,99,RU,1612056397,96,57.4028,67.0786,14.13,6.42,2021-01-31 01:26:37
Saldanha,0,ZA,1612055713,92,-33.0117,17.9442,63.63,1.63,2021-01-31 01:15:13
Puerto Ayora,51,EC,1612056158,89,-0.7393,-90.3518,78.01,5.01,2021-01-31 01:22:38
Barrow,90,US,1612056398,76,71.2906,-156.7887,-16.6,4.61,2021-01-31 01:26:38
Port Hawkesbury,90,CA,1612056027,80,45.6169,-61.3485,26.01,16.11,2021-01-31 01:20:27
Kalispell,90,US,1612056398,75,48.1958,-114.3129,36.0,4.61,2021-01-31 01:26:38
Clyde River,90,CA,1612055812,84,70.4692,-68.5914,-4.0,2.3,2021-01-31 01:16:52
Lagos,10,NG,1612056204,90,6.5833,3.75,78.6,3.6,2021-01-31 01:23:24
Canto do Buriti,100,BR,1612056399,95,-8.11,-42.9444,68.83,2.35,2021-01-31 01:26:39
Yumen,0,CN,1612056030,73,40.2833,97.2,21.61,23.15,2021-01-31 01:20:30
Arman',69,RU,1612056399,78,59.7,150.1667,-12.59,17.98,2021-01-31 01:26:39
Carnarvon,6,AU,1612056212,70,-24.8667,113.6333,86.0,4.61,2021-01-31 01:23:32
Vila Velha,75,BR,1612055819,78,-20.3297,-40.2925,78.8,6.91,2021-01-31 01:16:59
Upernavik,100,GL,1612056400,87,72.7868,-56.1549,-9.13,6.98,2021-01-31 01:26:40
Jamestown,1,US,1612056132,79,42.097,-79.2353,17.6,3.13,2021-01-31 01:22:12
Klyuchi,100,RU,1612056400,95,52.2667,79.1667,8.06,7.87,2021-01-31 01:26:40
Puerto Escondido,40,MX,1612056029,74,15.85,-97.0667,80.6,4.61,2021-01-31 01:20:29
Albany,1,US,1612055750,60,42.6001,-73.9662,17.01,4.0,2021-01-31 01:15:50
Vohibinany,23,MG,1612056401,89,-17.35,49.0333,72.39,1.21,2021-01-31 01:26:41
Cape Town,75,ZA,1612056401,77,-33.9258,18.4232,70.0,5.75,2021-01-31 01:26:41
Atuona,62,PF,1612056402,73,-9.8,-139.0333,79.25,17.56,2021-01-31 01:26:42
Boyolangu,82,ID,1612056128,77,-8.1181,111.8935,80.02,4.16,2021-01-31 01:22:08
Voi,100,KE,1612056402,87,-3.3945,38.563,71.31,6.02,2021-01-31 01:26:42
Santa Maria,90,BR,1612056265,100,-29.6842,-53.8069,69.8,6.91,2021-01-31 01:24:25
Mataura,98,NZ,1612056402,36,-46.1927,168.8643,72.55,3.22,2021-01-31 01:26:42
Kalmunai,100,LK,1612055846,86,7.4167,81.8167,76.39,4.83,2021-01-31 01:17:26
Kapaa,75,US,1612055540,69,22.0752,-159.319,77.0,14.97,2021-01-31 01:12:20
Khrebtovaya,55,RU,1612056403,81,56.7032,104.2494,-44.48,1.77,2021-01-31 01:26:43
Mahon,37,ES,1612058329,87,39.8885,4.2658,48.2,4.61,2021-01-31 01:58:49
Baracoa,78,CU,1612058329,81,20.3467,-74.4958,71.46,13.69,2021-01-31 01:58:49
Saskylakh,100,RU,1612058329,83,71.9167,114.0833,-33.29,9.42,2021-01-31 01:58:49
Thompson,90,CA,1612058330,92,55.7435,-97.8558,14.0,2.17,2021-01-31 01:58:50
Korla,0,CN,1612058330,85,41.7597,86.1469,18.81,4.81,2021-01-31 01:58:50
Bambous Virieux,40,MU,1612058330,83,-20.3428,57.7575,78.8,6.91,2021-01-31 01:58:50
Olinda,20,BR,1612058293,69,-8.0089,-34.8553,78.8,9.22,2021-01-31 01:58:13
Antofagasta,20,CL,1612058330,82,-23.65,-70.4,66.2,11.5,2021-01-31 01:58:50
Yellowknife,20,CA,1612058222,77,62.456,-114.3525,-11.99,3.44,2021-01-31 01:57:02
Ribeira Grande,98,PT,1612058331,92,38.5167,-28.7,63.12,20.49,2021-01-31 01:58:51
Rikitea,0,PF,1612058331,70,-23.1203,-134.9692,79.5,11.32,2021-01-31 01:58:51
Yarkovo,100,RU,1612058331,96,57.4028,67.0786,12.88,5.41,2021-01-31 01:58:51
Saldanha,0,ZA,1612058331,93,-33.0117,17.9442,63.59,2.48,2021-01-31 01:58:51
Puerto Ayora,42,EC,1612058332,90,-0.7393,-90.3518,78.01,5.01,2021-01-31 01:58:52
Barrow,90,US,1612058332,76,71.2906,-156.7887,-16.6,4.61,2021-01-31 01:58:52
Port Hawkesbury,90,CA,1612058332,80,45.6169,-61.3485,26.01,16.11,2021-01-31 01:58:52
Kalispell,90,US,1612058332,75,48.1958,-114.3129,36.0,4.61,2021-01-31 01:58:52
Clyde River,90,CA,1612058333,92,70.4692,-68.5914,-2.2,3.44,2021-01-31 01:58:53
Lagos,20,NG,1612058159,89,6.5833,3.75,80.6,3.74,2021-01-31 01:55:59
Canto do Buriti,100,BR,1612058333,94,-8.11,-42.9444,68.7,0.98,2021-01-31 01:58:53
Yumen,0,CN,1612058333,70,40.2833,97.2,23.94,22.86,2021-01-31 01:58:53
Arman',66,RU,1612058333,78,59.7,150.1667,-11.02,18.48,2021-01-31 01:58:53
Carnarvon,3,AU,1612058334,70,-24.8667,113.6333,86.0,4.61,2021-01-31 01:58:54
Vila Velha,75,BR,1612058315,78,-20.3297,-40.2925,78.8,6.91,2021-01-31 01:58:35
Upernavik,83,GL,1612058334,86,72.7868,-56.1549,-9.56,6.85,2021-01-31 01:58:54
Jamestown,1,US,1612058334,79,42.097,-79.2353,18.0,3.85,2021-01-31 01:58:54
Klyuchi,100,RU,1612058334,94,52.2667,79.1667,7.56,7.36,2021-01-31 01:58:54
Puerto Escondido,40,MX,1612058335,74,15.85,-97.0667,80.6,4.61,2021-01-31 01:58:55
Albany,6,US,1612058286,78,42.6001,-73.9662,16.0,3.0,2021-01-31 01:58:06
Vohibinany,21,MG,1612058335,89,-17.35,49.0333,72.1,1.43,2021-01-31 01:58:55
Cape Town,75,ZA,1612058089,77,-33.9258,18.4232,69.01,5.75,2021-01-31 01:54:49
Atuona,77,PF,1612058336,75,-9.8,-139.0333,79.12,16.96,2021-01-31 01:58:56
Boyolangu,99,ID,1612058336,71,-8.1181,111.8935,82.31,2.06,2021-01-31 01:58:56
Voi,99,KE,1612058336,86,-3.3945,38.563,70.59,5.26,2021-01-31 01:58:56
Santa Maria,90,BR,1612058336,100,-29.6842,-53.8069,69.8,6.91,2021-01-31 01:58:56
Mataura,98,NZ,1612058336,37,-46.1927,168.8643,71.82,3.74,2021-01-31 01:58:56
Kalmunai,100,LK,1612058337,85,7.4167,81.8167,77.31,5.19,2021-01-31 01:58:57
Kapaa,75,US,1612058337,69,22.0752,-159.319,77.0,14.97,2021-01-31 01:58:57
Khrebtovaya,58,RU,1612058337,81,56.7032,104.2494,-42.02,1.79,2021-01-31 01:58:57
Praia da Vitória,75,PT,1612058338,88,38.7333,-27.0667,64.4,14.74,2021-01-31 01:58:58
Chokurdakh,0,RU,1612058338,85,70.6333,147.9167,-29.65,8.46,2021-01-31 01:58:58
Ushuaia,20,AR,1612058180,66,-54.8,-68.3,50.0,24.16,2021-01-31 01:56:20
Tuktoyaktuk,40,CA,1612058338,74,69.4541,-133.0374,-36.4,5.75,2021-01-31 01:58:58
Havre-St-Pierre,90,CA,1612058338,73,50.2334,-63.5986,21.2,5.75,2021-01-31 01:58:58
Hermanus,0,ZA,1612058339,87,-34.4187,19.2345,63.0,9.06,2021-01-31 01:58:59
Kargopol',100,RU,1612058339,97,61.5071,38.9456,18.63,5.97,2021-01-31 01:58:59
George Town,20,MY,1612058265,69,5.4112,100.3354,82.4,3.44,2021-01-31 01:57:45
Kavieng,99,PG,1612058339,71,-2.5744,150.7967,83.41,13.91,2021-01-31 01:58:59
Tasiilaq,90,GL,1612058340,33,65.6145,-37.6368,21.2,13.8,2021-01-31 01:59:00
Broome,1,US,1612058340,79,42.2506,-75.833,14.0,6.91,2021-01-31 01:59:00
Avarua,90,CK,1612058340,69,-21.2078,-159.775,82.4,4.61,2021-01-31 01:59:00
Palmas,20,BR,1612058340,100,-10.2128,-48.3603,75.2,3.44,2021-01-31 01:59:00
Codrington,0,AU,1612058340,57,-38.2667,141.9667,65.97,9.89,2021-01-31 01:59:00
Hirara,40,JP,1612058341,52,24.8,125.2833,69.8,16.11,2021-01-31 01:59:01
Bluff,99,NZ,1612058341,70,-46.6,168.3333,58.37,9.71,2021-01-31 01:59:01
Grindavik,0,IS,1612058341,79,63.8424,-22.4338,19.4,6.91,2021-01-31 01:59:01
Yerbogachën,72,RU,1612058341,82,61.2767,108.0108,-35.91,5.61,2021-01-31 01:59:01
Guerrero Negro,94,MX,1612058342,69,27.9769,-114.0611,59.58,14.14,2021-01-31 01:59:02
São João da Barra,1,BR,1612058342,80,-21.6403,-41.0511,77.56,21.16,2021-01-31 01:59:02
Kruisfontein,0,ZA,1612058342,90,-34.0033,24.7314,57.99,1.01,2021-01-31 01:59:02
Pineville,90,US,1612058343,94,31.3224,-92.4343,66.2,11.5,2021-01-31 01:59:03
Moratuwa,20,LK,1612058343,100,6.773,79.8816,73.4,2.3,2021-01-31 01:59:03
